ProteinGroupID,ProteinGroup,Names,Descriptions,Sequence,Crosslinker,Score,isDecoy,isTT,isTD,isDD,PSM IDs,fdrGroup,fdr,ifdr,PEP,
82,P60422,,,,,∞,false,true,false,false,pLink2_3761;pLink2_3034;pLink2_2764;pLink2_832;pLink2_989;pLink2_2114;pLink2_2572;pLink2_1669;pLink2_565;pLink2_1617;pLink2_3589;pLink2_4010;pLink2_4143;pLink2_2840;pLink2_3230;pLink2_3620;pLink2_4022;pLink2_2916;pLink2_1238;pLink2_1421;pLink2_1054;pLink2_3355;pLink2_2358;pLink2_1094;pLink2_2257;pLink2_3790;pLink2_3489;pLink2_4053;pLink2_3801;pLink2_1154;pLink2_3475;pLink2_3558;pLink2_215;pLink2_967;pLink2_1134;pLink2_1229;pLink2_1242;pLink2_1501;pLink2_1508;pLink2_1782;pLink2_1927;pLink2_2129;pLink2_2149;pLink2_2157;pLink2_2242;pLink2_2318;pLink2_2616;pLink2_2618;pLink2_2859;pLink2_2905;pLink2_2998;pLink2_3028;pLink2_3060;pLink2_3173;pLink2_3250;pLink2_3520;pLink2_3533;pLink2_3565;pLink2_3633;pLink2_3732;pLink2_3748;pLink2_3841;pLink2_3864;pLink2_3963;pLink2_63;pLink2_2582;pLink2_3884;pLink2_1918;pLink2_2952;pLink2_3638;pLink2_3877;pLink2_1452;pLink2_3307;pLink2_3501;pLink2_3739;pLink2_309;pLink2_4182;pLink2_1914;pLink2_1330;pLink2_3227;pLink2_2872;pLink2_559;pLink2_631;pLink2_2361;pLink2_2423;pLink2_2531;pLink2_3740;pLink2_3623;pLink2_663;pLink2_3622;pLink2_667;pLink2_928;pLink2_1140;pLink2_3760;pLink2_1530;pLink2_2472;pLink2_3047;pLink2_294;pLink2_2579;pLink2_2327;pLink2_52;pLink2_1381;pLink2_2450;pLink2_2803,Between only,0.11678832116788321,NaN,0.0,0.9999999999732423
272,Q46897,,,,,∞,false,true,false,false,pLink2_299,Between only,0.11678832116788321,NaN,0.0,0.5689023
241,A6NN90,,,,,∞,false,true,false,false,pLink2_267,Between only,0.11678832116788321,NaN,0.0,0.5568222
122,P62399,,,,,∞,false,true,false,false,pLink2_1210;pLink2_857;pLink2_346;pLink2_907;pLink2_1312;pLink2_2406;pLink2_340;pLink2_2883;pLink2_3513;pLink2_850;pLink2_2175;pLink2_3487;pLink2_3387;pLink2_3641;pLink2_3938;pLink2_1088;pLink2_1920;pLink2_611;pLink2_997;pLink2_2366;pLink2_3122;pLink2_3836;pLink2_2678;pLink2_1324;pLink2_716;pLink2_2323;pLink2_1333;pLink2_2028;pLink2_2072;pLink2_2830;pLink2_2993;pLink2_3470;pLink2_1949;pLink2_269;pLink2_2049;pLink2_1335;pLink2_3286;pLink2_2664;pLink2_3162;pLink2_3202;pLink2_3712;pLink2_3872;pLink2_3880;pLink2_86;pLink2_1305;pLink2_1367;pLink2_1720;pLink2_3163;pLink2_3023;pLink2_1868;pLink2_2178;pLink2_1804;pLink2_2312;pLink2_2419;pLink2_2719;pLink2_3282,Between only,0.11678832116788321,NaN,0.0,0.99999998227873
403,P35638,,,,,∞,false,true,false,false,pLink2_637,Between only,0.11678832116788321,NaN,0.0,0.6781072
422,Q46901,,,,,∞,false,true,false,false,pLink2_1046;pLink2_874;pLink2_1409;pLink2_2962;pLink2_1063;pLink2_689;pLink2_1260;pLink2_1512;pLink2_3802;pLink2_870,Between only,0.11678832116788321,NaN,0.0,0.999998409086
195,P08312,,,,,∞,false,true,false,false,pLink2_719;pLink2_3079;pLink2_1011;pLink2_2201;pLink2_2717;pLink2_3330;pLink2_3499;pLink2_3659;pLink2_3809;pLink2_3967;pLink2_3990;pLink2_187;pLink2_486;pLink2_1078;pLink2_3863;pLink2_1034;pLink2_2244;pLink2_2561;pLink2_2980;pLink2_4093,Between only,0.11678832116788321,NaN,0.0,0.9999999999999946
616,Q9Y2R0,,,,,∞,false,true,false,false,pLink2_1862,Between only,0.11678832116788321,NaN,0.0,0.92265718
508,Q9NWC5,,,,,∞,false,true,false,false,pLink2_1051;pLink2_2272,Between only,0.11678832116788321,NaN,0.0,0.96725272
304,P0AF43,,,,,∞,false,true,false,false,pLink2_388,Between only,0.11678832116788321,NaN,0.0,0.6067085999999999
268,Q92997,,,,,∞,false,true,false,false,pLink2_289,Between only,0.11678832116788321,NaN,0.0,0.5645906
757,decoy:P0AFZ7,decoy:,decoy:,,,∞,true,false,true,false,pLink2_4166,Between only,0.11678832116788321,NaN,0.0,0.47350309999999995
330,Q99742,,,,,∞,false,true,false,false,pLink2_438,Between only,0.11678832116788321,NaN,0.0,0.6263166
414,P32128,,,,,∞,false,true,false,false,pLink2_673,Between only,0.11678832116788321,NaN,0.0,0.6857678
703,decoy:Q9UET6,decoy:,decoy:,,,∞,true,false,true,false,pLink2_4111,Between only,0.11678832116788321,NaN,0.0,0.5709223
395,Q6ZU65,,,,,∞,false,true,false,false,pLink2_609;pLink2_1554;pLink2_1176;pLink2_944;pLink2_1998,Between only,0.11678832116788321,NaN,0.0,0.93994328
760,decoy:P0AC86,decoy:,decoy:,,,∞,true,false,true,false,pLink2_4169,Between only,0.11678832116788321,NaN,0.0,0.4604279
741,decoy:Q5K130,decoy:,decoy:,,,∞,true,false,true,false,pLink2_4149,Between only,0.11678832116788321,NaN,0.0,0.503313
568,O75159,,,,,∞,false,true,false,false,pLink2_1413;pLink2_1968,Between only,0.11678832116788321,NaN,0.0,0.93657491
586,P0AC86,,,,,∞,false,true,false,false,pLink2_1608,Between only,0.11678832116788321,NaN,0.0,0.8817388
120,P0A7F3,,,,,∞,false,true,false,false,pLink2_461;pLink2_1205;pLink2_1490;pLink2_1647;pLink2_2835;pLink2_3001;pLink2_3283;pLink2_954;pLink2_2507;pLink2_2183;pLink2_2957;pLink2_84;pLink2_893;pLink2_1270;pLink2_1921;pLink2_2497;pLink2_2513;pLink2_2782;pLink2_2800;pLink2_3353;pLink2_3483;pLink2_3496;pLink2_3523;pLink2_3562;pLink2_3624;pLink2_3635;pLink2_3661;pLink2_3667;pLink2_3683;pLink2_3718;pLink2_3724;pLink2_3824;pLink2_3852,Between only,0.11678832116788321,NaN,0.0,0.9999997388054
501,Q8N865,,,,,∞,false,true,false,false,pLink2_1029,Between only,0.11678832116788321,NaN,0.0,0.7608381
392,P21189,,,,,∞,false,true,false,false,pLink2_604,Between only,0.11678832116788321,NaN,0.0,0.6707065
435,Q9H246,,,,,∞,false,true,false,false,pLink2_739,Between only,0.11678832116788321,NaN,0.0,0.6991756
211,P28631,,,,,∞,false,true,false,false,pLink2_3433;pLink2_3838;pLink2_214;pLink2_3166,Between only,0.11678832116788321,NaN,0.0,0.9999994773744
