ProteinGroupPairID,LinkIDs,PeptidePairIDs,PSMIDs,Protein1,Name1,Descriptions1,isDecoy1,Protein2,Name2,Description2,isDecoy2,Crosslinker,Score,isDecoy,isTT,isTD,isDD,count PSMs,count peptide pairs,count links,fdrGroup,fdr,ifdr,PEP,,top link fdr,top peptide fdr,top psm_fdr
1625,52,139,pLink2_3054,P05042,,,false,P05042,,,false,,0.998,false,true,false,false,1,1,1,Self,0,0,0,,0,0,0
1056,1180,3214,pLink2_3044,P0A6F5,,,false,P25553,,,false,,0.998,false,true,false,false,1,1,1,Between,0,0.002,0.003,,0,0,0
1050,1174,3206,pLink2_3033,P0A7V3,,,false,P0A7U3,,,false,,0.997,false,true,false,false,1,1,1,Between,0,0.002,0.003,,0,0,0
1046,1170,3200,pLink2_3026,P69797,,,false,P0ACF0,,,false,,0.997,false,true,false,false,1,1,1,Between,0,0.002,0.003,,0,0,0
1041,1165,3192,pLink2_3018,P0A7T3,,,false,P02413,,,false,,0.997,false,true,false,false,1,1,1,Between,0,0.002,0.003,,0,0,0
1036,1159,3173,pLink2_2995,O95070,,,false,P0CE48;P0CE47,;,;,false,,0.997,false,true,false,false,1,1,1,Between,0,0.002,0.003,,0,0,0
1034,1157,1728,pLink2_2982,P0A7T7,,,false,P0ACF0,,,false,,0.997,false,true,false,false,1,1,1,Between,0,0.002,0.003,,0,0,0
1033,1156,680,pLink2_2981,P0A6F5,,,false,P0A8V2,,,false,,0.997,false,true,false,false,1,1,1,Between,0,0.002,0.003,,0,0,0
1028,1150,3148,pLink2_2964,Q9BZW4,,,false,Q8TEA8,,,false,,0.997,false,true,false,false,1,1,1,Between,0,0.002,0.003,,0,0,0
1027,1149,1422,pLink2_2962,P0A7V3,,,false,Q46901,,,false,,0.997,false,true,false,false,1,1,1,Between,0,0.002,0.003,,0,0,0
1015,1137,2984,pLink2_2903,P0A7V8,,,false,P0ADY3,,,false,,0.996,false,true,false,false,1,1,1,Between,0,0.002,0.003,,0,0,0
1014,1136,3098,pLink2_2901,P0A8T7,,,false,P0ABS1,,,false,,0.995,false,true,false,false,1,1,1,Between,0,0.002,0.003,,0,0,0
1013,1135,685,pLink2_2896,P0A9B2,,,false,P77315,,,false,,0.995,false,true,false,false,1,1,1,Between,0,0.002,0.003,,0,0,0
1010,1132,3082,pLink2_2878,P02359,,,false,P0A7L0,,,false,,0.995,false,true,false,false,1,1,1,Between,0,0.002,0.003,,0,0,0
1623,49,461,pLink2_2862,P0ACJ0,,,false,P0ACJ0,,,false,,0.995,false,true,false,false,1,1,1,Self,0,0,0,,0,0,0
1007,1128,3066,pLink2_2857,P0A6Y1,,,false,P02413,,,false,,0.995,false,true,false,false,1,1,1,Between,0,0.002,0.003,,0,0,0
1005,1126,3059,pLink2_2849,P0A6F5,,,false,P0A8A0,,,false,,0.994,false,true,false,false,1,1,1,Between,0,0.002,0.003,,0,0,0
1004,1125,3054,pLink2_2843,P0A7L3,,,false,P0AA10,,,false,,0.994,false,true,false,false,1,1,1,Between,0,0.002,0.003,,0,0,0
1002,1123,3037,pLink2_2821,P0C018,,,false,P0ACF0,,,false,,0.994,false,true,false,false,1,1,1,Between,0,0.002,0.003,,0,0,0
