ProteinGroupPairID,LinkIDs,PeptidePairIDs,PSMIDs,Protein1,Name1,Descriptions1,isDecoy1,Protein2,Name2,Description2,isDecoy2,Crosslinker,Score,isDecoy,isTT,isTD,isDD,count PSMs,count peptide pairs,count links,fdrGroup,fdr,ifdr,PEP,,top link fdr,top peptide fdr,top psm_fdr
387,478;581,3217;340,Kojak_2637;Kojak_3417;Kojak_3416,P0A707,,,false,P0A7U3,,,false,,11.291,false,true,false,false,3,2,2,Between,0,0,0.023,,0,0,0
490,590,1824,Kojak_3320,P0A9G6,,,false,P0A6B7,,,false,,11.16,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
489,589,2445,Kojak_3801,P0A6Y1,,,false,P0A7J7,,,false,,11.04,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
486,586,3625,Kojak_2257,P0A7V8,,,false,P0ACF4,,,false,,10.73,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
484,582,3616,Kojak_3103,P02359,,,false,P0A7V0,,,false,,10.45,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
480,578,580,Kojak_3408;Kojak_2439,P24255,,,false,P0A8V2,,,false,,9.892,false,true,false,false,2,1,1,Between,0,0,0.023,,0,0,0
475,574,876,Kojak_4006;Kojak_3308,P36879,,,false,P21179,,,false,,9.734,false,true,false,false,2,1,1,Between,0,0,0.023,,0,0,0
473,572,3594,Kojak_604,P02359,,,false,P0A7L3,,,false,,9.632,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
471,569,223,Kojak_1863,P0A7U3,,,false,P0A7S9,,,false,,9.508,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
15,46;198;78;561;287;333,476;1218;1049;800;1360;1514;1499,Kojak_647;Kojak_237;Kojak_650;Kojak_2382;Kojak_3373;Kojak_2376;Kojak_1090,P0ACF4,,,false,P60422,,,false,,9.338,false,true,false,false,7,7,6,Between,0,0,0.023,,0,0,0
464,558,2311,Kojak_2723,P0ADY7,,,false,P68919,,,false,,8.974,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
460,555,3542,Kojak_817,P0AGJ5,,,false,P62399,,,false,,8.667,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
459,554,3536,Kojak_3936,P0A7N4,,,false,P61175,,,false,,8.573,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
454,549,3350,Kojak_2989,P0A8V2,,,false,P00579,,,false,,8.172,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
452,547,3384,Kojak_2125,P0A8N3,,,false,P0A8N5,,,false,,8.115,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
719,11,0,Kojak_2383;Kojak_1668;Kojak_1669,P0CE48;P0CE47,;,;,false,P0CE47,,,false,,7.813,false,true,false,false,3,1,1,Self,0,0,0,,0,0,0
446,540,1287,Kojak_802;Kojak_803,P0ADN2,,,false,P0A8V2,,,false,,7.591,false,true,false,false,2,1,1,Between,0,0,0.023,,0,0,0
38,73;537,761;2229,Kojak_1112;Kojak_2380;Kojak_2379,P0A9G6,,,false,P0ACF4,,,false,,7.492,false,true,false,false,3,2,2,Between,0,0,0.023,,0,0,0
441,535,3460,Kojak_3897,P0A9P0,,,false,P0ACG1,,,false,,7.475,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
437,531,3226,Kojak_401,P45577,,,false,P0A7S3,,,false,,7.301,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
215,288;527,2173;3413,Kojak_3887;Kojak_1071,P02359,,,false,P0ACF0,,,false,,7.273,false,true,false,false,2,2,2,Between,0,0,0.023,,0,0,0
435,529,248,Kojak_852;Kojak_875,P21338,,,false,P0AG59,,,false,,7.255,false,true,false,false,2,1,1,Between,0,0,0.023,,0,0,0
81,128;522,536;2813,Kojak_2611;Kojak_1960,P0ADG7,,,false,P60560,,,false,,7.069,false,true,false,false,2,2,2,Between,0,0,0.023,,0,0,0
53,521;91,951;819,Kojak_1045;Kojak_31,P02359,,,false,P0A7T7,,,false,,7.01,false,true,false,false,2,2,2,Between,0,0,0.023,,0,0,0
427,402,653;2508,Kojak_2130;Kojak_3722,P0AG59,,,false,P0A7U3,,,false,,7.005,false,true,false,false,2,2,1,Between,0,0,0.023,,0,0,0
426,520,2596,Kojak_824;Kojak_823,P0A9Q1,,,false,P0AG44,,,false,,6.994,false,true,false,false,2,1,1,Between,0,0,0.023,,0,0,0
425,519,3407,Kojak_787,P0AG67,,,false,P0A7X3,,,false,,6.987,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
420,515,888,Kojak_2278,P0A9F3,,,false,P0AG59,,,false,,6.806,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
418,512,757,Kojak_3191,P0A7S3,,,false,P0ACF0,,,false,,6.716,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
416,510,3383,Kojak_176,P68191,,,false,P00490,,,false,,6.65,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
411,503,3342,Kojak_2665,P0A8X0,,,false,P0ACF4,,,false,,6.231,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
409,500,1830,Kojak_918,ENTRAP_sp|P10145|IL8_HUMAN,,,false,ENTRAP_sp|Q07108|CD69_HUMAN,,,false,,6.083,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
407,498,376,Kojak_1173,decoy:sp|P37657|BCSE_ECOLI,decoy:,decoy:,true,P64572,,,false,,5.876,true,false,true,false,1,1,1,Between,0,0.004,0.023,,0,0,0
403,493,2501,Kojak_1247,P0A705,,,false,P0A7V8,,,false,,5.663,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
402,492,2457,Kojak_2009;Kojak_1962;Kojak_2008,P0A7V0,,,false,P76053,,,false,,5.516,false,true,false,false,3,1,1,Between,0,0.001,0.023,,0,0,0
124,179;71,1545;2144;729,Kojak_3133;Kojak_822;Kojak_3497,P0AG59,,,false,P0A705,,,false,,5.49,false,true,false,false,3,3,2,Between,0,0.001,0.023,,0,0,0
397,487,329,Kojak_362,P0A6X7,,,false,P0AG59,,,false,,5.413,false,true,false,false,1,1,1,Between,0,0.001,0.023,,0,0,0
395,485,3252,Kojak_3255,P0A7U3,,,false,P0AG67,,,false,,5.125,false,true,false,false,1,1,1,Between,0,0.002,0.023,,0,0,0
393,483,1173,Kojak_1019;Kojak_672,P30128,,,false,P0A8T7,,,false,,5.023,false,true,false,false,2,1,1,Between,0,0.002,0.023,,0,0,0.001
169,200;451;311;235,2741;1709;2001;2303;1908,Kojak_2231;Kojak_270;Kojak_484;Kojak_776;Kojak_1111,P0ADQ7,,,false,P0AEH5,,,false,,4.897,false,true,false,false,5,5,4,Between,0,0.002,0.023,,0,0,0
716,8,165,Kojak_2716,P0A6H5,,,false,P0A6H5;P0AE45,;,;,false,,4.891,false,true,false,false,1,1,1,Self,0,0,0,,0,0,0
72,399;384;117;411;398,2221;2468;1112;1358;2808,Kojak_591;Kojak_148;Kojak_1445;Kojak_1086;Kojak_3329,P07395,,,false,P08312,,,false,,4.879,false,true,false,false,5,5,5,Between,0,0.002,0.023,,0.002,0.002,0.001
391,481,2517,Kojak_1646,P39406,,,false,P0A7U3,,,false,,4.854,false,true,false,false,1,1,1,Between,0,0.002,0.023,,0,0,0
389,286,3206;1365,Kojak_1858;Kojak_1919,P60624,,,false,P60422,,,false,,4.832,false,true,false,false,2,2,1,Between,0,0.002,0.023,,0,0,0
