ProteinGroupPairID,LinkIDs,PeptidePairIDs,PSMIDs,Protein1,Name1,Descriptions1,isDecoy1,Protein2,Name2,Description2,isDecoy2,Crosslinker,Score,isDecoy,isTT,isTD,isDD,count PSMs,count peptide pairs,count links,fdrGroup,fdr,ifdr,PEP,,top link fdr,top peptide fdr,top psm_fdr
259,279,397,OpenPepXL_105,P0A7T7,,,false,P68679,,,false,,0.824,false,true,false,false,1,1,1,Between,0.079,0.083,0.307,,0.085,0.092,0.073
256,276,420,OpenPepXL_102,P0ABB0,,,false,P0ABA6,,,false,,0.822,false,true,false,false,1,1,1,Between,0.079,0.091,0.275,,0.085,0.092,0.073
255,275,416,OpenPepXL_70,decoy:sp|P64612|ZAPE_ECOLI,decoy:,decoy:,true,P00961,,,false,,0.821,true,false,true,false,1,1,1,Between,0.095,0.099,0.275,,0.097,0.092,0.073
253,273,413,OpenPepXL_441,P60422,,,false,decoy:sp|Q96L15|NAR5_HUMAN,decoy:,decoy:,true,,0.82,true,false,true,false,1,1,1,Between,0.104,0.099,0.272,,0.097,0.092,0.073
252,272,412,OpenPepXL_108,P47972,,,false,P00961,,,false,,0.82,false,true,false,false,1,1,1,Between,0.104,0.106,0.293,,0.097,0.092,0.073
250,267,404,OpenPepXL_256,P21179,,,false,Q5VWZ2,,,false,,0.818,false,true,false,false,1,1,1,Between,0.104,0.111,0.305,,0.097,0.092,0.073
249,266,401,OpenPepXL_20,P0A7B3,,,false,P0A853,,,false,,0.818,false,true,false,false,1,1,1,Between,0.104,0.112,0.305,,0.097,0.092,0.073
247,264,399,OpenPepXL_113,P0ACF4,,,false,P0A7S3,,,false,,0.818,false,true,false,false,1,1,1,Between,0.104,0.114,0.301,,0.097,0.092,0.073
245,262,396,OpenPepXL_78,P22256,,,false,decoy:sp|Q5SWH9|TMM69_HUMAN,decoy:,decoy:,true,,0.816,true,false,true,false,1,1,1,Between,0.118,0.118,0.281,,0.097,0.092,0.073
244,261,395,OpenPepXL_336,P0A6X7,,,false,P62399,,,false,,0.816,false,true,false,false,1,1,1,Between,0.118,0.119,0.278,,0.097,0.092,0.073
243,260,394,OpenPepXL_118,decoy:sp|P0ABC3|HFLC_ECOLI,decoy:,decoy:,true,P0A853,,,false,,0.816,true,false,true,false,1,1,1,Between,0.119,0.118,0.278,,0.097,0.092,0.073
242,259,393,OpenPepXL_148,P0ABC3,,,false,P0A853,,,false,,0.815,false,true,false,false,1,1,1,Between,0.119,0.119,0.258,,0.097,0.092,0.073
240,257,390,OpenPepXL_315,P0C0V0,,,false,decoy:sp|P39342|YJGR_ECOLI,decoy:,decoy:,true,,0.814,true,false,true,false,1,1,1,Between,0.119,0.119,0.253,,0.097,0.092,0.073
239,256,389,OpenPepXL_117,decoy:sp|P42601|ALX_ECOLI,decoy:,decoy:,true,P0A853,,,false,,0.814,true,false,true,false,1,1,1,Between,0.119,0.119,0.253,,0.097,0.092,0.073
238,255,387,OpenPepXL_14,decoy:sp|P75783|YBIO_ECOLI,decoy:,decoy:,true,P0A836,,,false,,0.814,true,false,true,false,1,1,1,Between,0.119,0.119,0.248,,0.097,0.092,0.073
237,254,386,OpenPepXL_151,P0A7T7,,,false,P0A7G2,,,false,,0.813,false,true,false,false,1,1,1,Between,0.119,0.119,0.255,,0.097,0.092,0.073
236,253,383,OpenPepXL_286,P69908,,,false,P0A6Y8,,,false,,0.812,false,true,false,false,1,1,1,Between,0.119,0.119,0.255,,0.097,0.092,0.073
234,251,381,OpenPepXL_162,Q8N8R3,,,false,P07118,,,false,,0.812,false,true,false,false,1,1,1,Between,0.119,0.119,0.25,,0.097,0.092,0.073
233,250,378,OpenPepXL_107,P0A7T7,,,false,P49450;P25116,;,;,false,,0.811,false,true,false,false,1,1,1,Between,0.119,0.119,0.248,,0.097,0.092,0.073
232,249,141,OpenPepXL_40,P0A7L8,,,false,P0C018,,,false,,0.811,false,true,false,false,1,1,1,Between,0.119,0.119,0.248,,0.097,0.092,0.073
231,248,376,OpenPepXL_271,Q30KQ9,,,false,P0A853,,,false,,0.811,false,true,false,false,1,1,1,Between,0.119,0.119,0.248,,0.097,0.092,0.073
230,247,56,OpenPepXL_459,P11458;P0A6G7;Q32MQ0,;;,;;,false,P20592,,,false,,0.81,false,true,false,false,1,1,1,Between,0.119,0.119,0.245,,0.097,0.092,0.073
229,246,371,OpenPepXL_457,P09373,,,false,P29745,,,false,,0.809,false,true,false,false,1,1,1,Between,0.119,0.119,0.245,,0.097,0.092,0.073
228,245,246,OpenPepXL_206,P09373,,,false,Q9Y597;A6NEV1,;,;,false,,0.809,false,true,false,false,1,1,1,Between,0.119,0.119,0.255,,0.097,0.092,0.073
225,242,367,OpenPepXL_28,P15034,,,false,decoy:sp|P63313|TYB10_HUMAN,decoy:,decoy:,true,,0.809,true,false,true,false,1,1,1,Between,0.119,0.119,0.25,,0.097,0.092,0.073
224,241,365,OpenPepXL_15,decoy:sp|P50053|KHK_HUMAN,decoy:,decoy:,true,P0A836,,,false,,0.809,true,false,true,false,1,1,1,Between,0.119,0.119,0.25,,0.097,0.092,0.073
222,239,360,OpenPepXL_92,P0A7V0,,,false,Q6AI08,,,false,,0.808,false,true,false,false,1,1,1,Between,0.119,0.119,0.246,,0.097,0.092,0.073
221,238,262,OpenPepXL_356,P68191,,,false,P62875,,,false,,0.808,false,true,false,false,1,1,1,Between,0.119,0.119,0.246,,0.097,0.092,0.073
220,237,358,OpenPepXL_26,P00968,,,false,decoy:sp|P76147|DGCF_ECOLI,decoy:,decoy:,true,,0.808,true,false,true,false,1,1,1,Between,0.119,0.119,0.246,,0.097,0.092,0.073
219,236,356,OpenPepXL_242,P0A853,,,false,P42909,,,false,,0.808,false,true,false,false,1,1,1,Between,0.119,0.119,0.246,,0.097,0.092,0.073
218,235,355,OpenPepXL_163,P64581,,,false,P0ADQ7,,,false,,0.808,false,true,false,false,1,1,1,Between,0.119,0.119,0.246,,0.097,0.092,0.073
217,234,354,OpenPepXL_76,P0A9P0,,,false,P37443,,,false,,0.808,false,true,false,false,1,1,1,Between,0.119,0.119,0.246,,0.097,0.092,0.073
216,233,305,OpenPepXL_58,decoy:sp|Q5VVX9|UBE2U_HUMAN,decoy:,decoy:,true,P0A7K2,,,false,,0.808,true,false,true,false,1,1,1,Between,0.119,0.119,0.246,,0.097,0.092,0.073
215,232,351,OpenPepXL_101,P0A8M3,,,false,P0AEB2,,,false,,0.807,false,true,false,false,1,1,1,Between,0.119,0.119,0.241,,0.097,0.092,0.073
214,231,350,OpenPepXL_249,P15639,,,false,P23883,,,false,,0.807,false,true,false,false,1,1,1,Between,0.119,0.119,0.241,,0.097,0.092,0.073
213,230,349,OpenPepXL_27,decoy:sp|O00628|PEX7_HUMAN,decoy:,decoy:,true,P0A853,,,false,,0.806,true,false,true,false,1,1,1,Between,0.119,0.119,0.241,,0.097,0.092,0.073
