ProteinGroupID,ProteinGroup,Names,Descriptions,Sequence,Crosslinker,Score,isDecoy,isTT,isTD,isDD,PSM IDs,fdrGroup,fdr,ifdr,PEP,
82,P0A7V3,,,,,∞,false,true,false,false,OpenPepXL_226;OpenPepXL_197;OpenPepXL_276;OpenPepXL_241;OpenPepXL_72;OpenPepXL_177;OpenPepXL_68,Between only,0.12980769230769232,NaN,0.0,0.897759410456591
149,Q46892,,,,,∞,false,true,false,false,OpenPepXL_209;OpenPepXL_135,Between only,0.12980769230769232,NaN,0.0,0.778621468928784
266,P63389,,,,,∞,false,true,false,false,OpenPepXL_328,Between only,0.12980769230769232,NaN,0.0,0.790778880261557
122,P07118,,,,,∞,false,true,false,false,OpenPepXL_222;OpenPepXL_106;OpenPepXL_162,Between only,0.12980769230769232,NaN,0.0,0.811670367227597
305,decoy:sp|Q96L15|NAR5_HUMAN,decoy:,decoy:,,,∞,true,false,true,false,OpenPepXL_441,Between only,0.12980769230769232,NaN,0.0,0.82044445136937
325,decoy:sp|Q6BEX0|YTFR_ECOLI,decoy:,decoy:,,,∞,true,false,true,false,OpenPepXL_475,Between only,0.12807881773399016,NaN,0.0,0.518456191121569
251,P13029,,,,,∞,false,true,false,false,OpenPepXL_305,Between only,0.12315270935960591,NaN,0.0,0.752004372546457
17,P77414,,,,,∞,false,true,false,false,OpenPepXL_176;OpenPepXL_10,Between only,0.12315270935960591,NaN,0.0,0.775011417761116
36,P0A7N4,,,,,∞,false,true,false,false,OpenPepXL_24;OpenPepXL_45;OpenPepXL_166;OpenPepXL_227;OpenPepXL_333;OpenPepXL_397;OpenPepXL_406;OpenPepXL_277;OpenPepXL_259,Between only,0.12315270935960591,NaN,0.0,0.862652756695274
76;77;75,Q9H511;P05976;P10916,;;,;;,;;,,∞,false,true,false,false,OpenPepXL_63,Between only,0.12315270935960591,NaN,0.0,0.759633768114489
194;193,Q9Y597;A6NEV1,;,;,;,,∞,false,true,false,false,OpenPepXL_292;OpenPepXL_206,Between only,0.12315270935960591,NaN,0.0,0.80913393898755
114,decoy:sp|P31663|PANC_ECOLI,decoy:,decoy:,,,∞,true,false,true,false,OpenPepXL_99,Between only,0.12315270935960591,NaN,0.0,0.786582948991205
58,P0C018,,,,,∞,false,true,false,false,OpenPepXL_451;OpenPepXL_338;OpenPepXL_440;OpenPepXL_40,Between only,0.12121212121212122,NaN,0.0,0.810992373934014
55,P06721,,,,,∞,false,true,false,false,OpenPepXL_37,Between only,0.12121212121212122,NaN,0.0,0.778821975884354
83,decoy:sp|P09546|PUTA_ECOLI,decoy:,decoy:,,,∞,true,false,true,false,OpenPepXL_69,Between only,0.12121212121212122,NaN,0.0,0.824380487803087
327,Q96K76,,,,,∞,false,true,false,false,OpenPepXL_477,Between only,0.11734693877551021,NaN,0.0,0.498040923512808
42,P15034,,,,,∞,false,true,false,false,OpenPepXL_28,Between only,0.11734693877551021,NaN,0.0,0.808857316703371
220,Q9UNS2,,,,,∞,false,true,false,false,OpenPepXL_264,Between only,0.11734693877551021,NaN,0.0,0.776794159643322
78,P04805,,,,,∞,false,true,false,false,OpenPepXL_64,Between only,0.11734693877551021,NaN,0.0,0.801206458705409
236,P0A6Y8,,,,,∞,false,true,false,false,OpenPepXL_286,Between only,0.11734693877551021,NaN,0.0,0.812306646809955
263,P0AE78,,,,,∞,false,true,false,false,OpenPepXL_326,Between only,0.11734693877551021,NaN,0.0,0.803773180316416
22,decoy:sp|P55083|MFAP4_HUMAN,decoy:,decoy:,,,∞,true,false,true,false,OpenPepXL_13,Between only,0.11734693877551021,NaN,0.0,0.793384486932231
307,Q9UN30,,,,,∞,false,true,false,false,OpenPepXL_443,Between only,0.11578947368421053,NaN,0.0,0.780723272194427
